"developer_name","ku_vector.K1","ku_vector.K10","ku_vector.K11","ku_vector.K12","ku_vector.K13","ku_vector.K14","ku_vector.K15","ku_vector.K16","ku_vector.K17","ku_vector.K18","ku_vector.K19","ku_vector.K2","ku_vector.K20","ku_vector.K21","ku_vector.K22","ku_vector.K23","ku_vector.K24","ku_vector.K25","ku_vector.K26","ku_vector.K27","ku_vector.K3","ku_vector.K4","ku_vector.K5","ku_vector.K6","ku_vector.K7","ku_vector.K8","ku_vector.K9","organization","repo_name"
"Dirk Fauth",1,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,NA,"eclipse.platform.ui"
"Dmitri Pivkine",1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,NA,"openj9"
"Dmitry Kryukov",1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,NA,"camel"
"Dmitry Spikhalsky",1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,NA,"jersey"
"Donald Raab",1,1,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,NA,"eclipse-collections"
"dseurotech",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,"kapua"
"Dylan Piergies",1,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,1,1,1,0,NA,"camel"
"eclipse-ls-bot",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,NA,"eclipse.jdt.ls"
"Eclipse Platform Bot",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,NA,"eclipse.platform"
"Eclipse Platform Bot",1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,NA,"eclipse.platform.swt"
"Eclipse Platform Bot",1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,NA,"eclipse.platform.ui"
"Eclipse Releng Bot",1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,NA,"eclipse.platform.swt"
"Ed Merks",1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,NA,"eclipse.platform"
"Ed Merks",1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,NA,"eclipse.platform.releng.buildtools"
"Ed Merks",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,NA,"eclipse.platform.swt"
"Ed Merks",1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,1,0,1,1,1,1,1,1,0,NA,"eclipse.platform.ui"
"Ed Merks",1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,NA,"lsp4e"
"Ed Merks",1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,NA,"tycho"
